source_record_id,customer_id,expected_amount,account_ref,eligibility_date
TDREF-20260807-0001,C00001,100000,001100000001,2026-08-06
TDREF-20260807-0002,C00002,100000,001100000002,2026-08-06
TDREF-20260807-0003,C00003,100000,001100000003,2026-08-06
TDREF-20260807-0004,C00004,100000,001100000004,2026-08-06
TDREF-20260807-0005,C00005,100000,001100000005,2026-08-06
TDREF-20260807-0006,C00006,100000,001100000006,2026-08-06
TDREF-20260807-0007,C00007,150000,001100000007,2026-08-06
TDREF-20260807-0008,C00008,100000,001100000008,2026-08-06
TDREF-20260807-0008,C00008,100000,001100000008,2026-08-06
TDREF-20260807-0009,C00009,-100000,001100000009,2026-08-06
